index,pred
813,0
814,0
815,0
816,0
817,0
818,1
819,1
820,1
821,0
822,0
823,0
824,0
825,0
826,1
827,0
828,0
829,0
830,0
831,1
832,0
833,0
834,0
835,1
836,0
837,0
838,1
839,0
840,0
841,0
842,0
843,1
844,0
845,0
846,1
847,0
848,1
849,0
850,0
851,0
852,0
853,0
854,1
855,0
856,1
857,0
858,1
859,0
860,0
861,0
862,0
863,0
864,0
865,1
866,0
867,0
868,0
869,0
870,1
871,0
872,0
873,1
874,0
875,1
876,0
877,1
878,0
879,1
880,1
881,1
882,0
883,0
884,0
885,0
886,0
887,0
888,1
889,0
890,0
891,0
892,0
893,1
894,0
895,1
896,0
897,0
898,0
899,0
900,0
901,0
902,1
903,1
904,1
905,0
906,1
907,0
908,1
909,1
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,1
922,1
923,1
924,1
925,0
926,0
927,0
928,0
929,1
930,0
931,0
932,1
933,0
934,0
935,0
936,0
937,0
938,0
939,1
940,0
941,1
942,0
943,0
944,0
945,1
946,0
947,0
948,0
949,1
950,1
951,1
952,0
953,0
954,0
955,0
956,1
957,0
958,1
959,1
960,1
961,0
962,0
963,0
964,0
965,0
966,0
967,1
968,0
969,0
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,0
978,1
979,1
980,1
981,0
982,0
983,0
984,1
985,0
986,0
987,0
988,0
989,1
990,0
991,0
992,1
993,1
994,0
995,0
996,0
997,1
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,1
1006,1
1007,0
1008,0
1009,0
1010,1
1011,1
1012,0
1013,1
1014,1
1015,0
1016,1
1017,0
1018,0
1019,1
1020,0
1021,0
1022,0
1023,1
1024,0
1025,1
1026,1
1027,0
1028,0
1029,0
1030,0
1031,1
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,1
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,1
1056,1
1057,0
1058,0
1059,0
1060,0
1061,0
1062,1
1063,1
1064,0
1065,0
